epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.035,0.79117,2.89579,1.04576,0.06686,1,0.99148,0.80602,0.68828,2.60223,0.81004,0.00026,0.00026,0.00026
2,7.64322,0.69482,1.41406,0.90235,0.99561,1,0.995,0.84149,0.72274,2.25757,0.84295,0.000537327,0.000537327,0.000537327
3,11.0284,0.63249,2.3354,0.83597,1,0.78776,0.99486,0.75745,0.87805,2.54901,0.88899,0.000811882,0.000811882,0.000811882
4,14.377,0.66606,1.19163,0.89385,1,0.55204,0.98988,0.78919,0.72562,2.82205,0.88719,0.00108366,0.00108366,0.00108366
5,17.6602,0.6835,1.09606,0.90456,0.97209,0.82857,0.97253,0.79427,0.67359,2.54422,0.84331,0.00135268,0.00135268,0.00135268
6,20.9301,0.67665,1.03459,0.9267,0.97085,0.95152,0.99261,0.84736,0.66585,2.39543,0.93709,0.00161892,0.00161892,0.00161892
7,24.1687,0.65572,1.01299,0.91882,0.99096,1,0.995,0.83273,0.67683,1.65252,0.92319,0.00188238,0.00188238,0.00188238
8,27.4233,0.67154,0.86458,0.92329,0.98493,0.98571,0.99244,0.81245,0.7115,1.33901,0.90635,0.0019307,0.0019307,0.0019307
9,30.9003,0.68332,0.83858,0.91853,0.95265,0.86223,0.96913,0.84055,0.59512,1.50978,0.87633,0.0019208,0.0019208,0.0019208
10,34.5151,0.70085,0.82469,0.94836,0.97152,0.97477,0.99297,0.86199,0.6168,1.03971,0.91789,0.0019109,0.0019109,0.0019109
11,37.9658,0.6328,0.71104,0.91001,0.99272,0.95714,0.99302,0.8719,0.55915,1.01295,0.90571,0.001901,0.001901,0.001901
12,41.341,0.62462,0.73732,0.90808,0.99899,1,0.995,0.87814,0.55261,0.62061,0.89586,0.0018911,0.0018911,0.0018911
13,44.6529,0.6148,0.64692,0.9007,0.99873,1,0.995,0.86853,0.54628,0.6173,0.88884,0.0018812,0.0018812,0.0018812
14,47.9693,0.6062,0.59715,0.91895,0.9859,0.99899,0.9943,0.88147,0.56778,0.60434,0.90957,0.0018713,0.0018713,0.0018713
15,51.2398,0.60528,0.59494,0.89763,0.98486,1,0.995,0.87373,0.54437,0.63343,0.91554,0.0018614,0.0018614,0.0018614
16,54.5045,0.66746,0.63398,0.94542,0.99893,1,0.995,0.86316,0.54646,0.5213,0.93025,0.0018515,0.0018515,0.0018515
17,57.7567,0.59787,0.54908,0.91474,0.99918,1,0.995,0.86756,0.56884,0.44846,0.91395,0.0018416,0.0018416,0.0018416
18,61.0787,0.62257,0.53363,0.92336,0.99861,1,0.995,0.87723,0.55062,0.41395,0.90866,0.0018317,0.0018317,0.0018317
19,64.3374,0.6262,0.52989,0.92496,0.99924,1,0.995,0.88686,0.54255,0.40257,0.90203,0.0018218,0.0018218,0.0018218
20,67.6845,0.5975,0.52668,0.89743,0.99922,1,0.995,0.87223,0.57435,0.44892,0.92205,0.0018119,0.0018119,0.0018119
21,71.0596,0.60765,0.51254,0.93953,0.99912,1,0.995,0.86922,0.57319,0.39286,0.91548,0.001802,0.001802,0.001802
22,74.3468,0.58708,0.47605,0.91699,0.99851,1,0.995,0.88743,0.51619,0.35017,0.88624,0.0017921,0.0017921,0.0017921
23,77.5479,0.57962,0.4304,0.90687,0.99858,1,0.995,0.88967,0.51305,0.37333,0.88489,0.0017822,0.0017822,0.0017822
24,80.8309,0.59533,0.44088,0.93328,0.99885,1,0.995,0.87614,0.54364,0.36277,0.91046,0.0017723,0.0017723,0.0017723
25,84.0259,0.60062,0.42343,0.92691,0.9988,1,0.995,0.85918,0.60879,0.39435,0.93127,0.0017624,0.0017624,0.0017624
26,87.2712,0.60156,0.43621,0.91886,0.9992,1,0.995,0.86144,0.5814,0.35653,0.92131,0.0017525,0.0017525,0.0017525
27,90.4843,0.5971,0.43777,0.89914,0.99922,1,0.995,0.86768,0.54894,0.31802,0.90618,0.0017426,0.0017426,0.0017426
28,93.7301,0.57729,0.41882,0.90573,0.99923,1,0.995,0.88567,0.51887,0.33786,0.89074,0.0017327,0.0017327,0.0017327
29,96.9836,0.57819,0.41586,0.91719,0.9992,1,0.995,0.86807,0.56196,0.31942,0.91276,0.0017228,0.0017228,0.0017228
30,100.323,0.55122,0.38151,0.9103,0.99913,1,0.995,0.88251,0.55332,0.3051,0.91896,0.0017129,0.0017129,0.0017129
31,103.583,0.54296,0.3823,0.90303,0.99919,1,0.995,0.86521,0.52474,0.3115,0.89066,0.001703,0.001703,0.001703
32,106.905,0.5627,0.396,0.89796,0.99916,1,0.995,0.87049,0.56266,0.31563,0.91912,0.0016931,0.0016931,0.0016931
33,110.16,0.61837,0.42176,0.9131,0.99921,1,0.995,0.87865,0.51882,0.30662,0.89253,0.0016832,0.0016832,0.0016832
34,113.451,0.58282,0.39328,0.92358,0.99897,1,0.995,0.87704,0.56741,0.33351,0.92397,0.0016733,0.0016733,0.0016733
35,116.716,0.5637,0.36855,0.91268,0.99887,1,0.995,0.8796,0.52903,0.31137,0.89801,0.0016634,0.0016634,0.0016634
36,119.948,0.54763,0.34917,0.90447,0.99918,1,0.995,0.87777,0.55509,0.3025,0.92303,0.0016535,0.0016535,0.0016535
37,123.165,0.56869,0.37971,0.89282,0.99921,1,0.995,0.88216,0.5616,0.30975,0.91259,0.0016436,0.0016436,0.0016436
38,126.442,0.5661,0.39177,0.91284,0.99922,1,0.995,0.87474,0.53218,0.30638,0.89506,0.0016337,0.0016337,0.0016337
39,129.667,0.55154,0.35461,0.88812,0.99915,1,0.995,0.89842,0.52311,0.30827,0.89309,0.0016238,0.0016238,0.0016238
40,132.92,0.54651,0.35745,0.91067,0.99915,1,0.995,0.87964,0.55905,0.29964,0.91128,0.0016139,0.0016139,0.0016139
41,136.357,0.53969,0.36076,0.88867,0.99909,1,0.995,0.88257,0.54031,0.29738,0.91065,0.001604,0.001604,0.001604
42,139.619,0.51735,0.34531,0.89277,0.99895,1,0.995,0.87941,0.55023,0.28865,0.90119,0.0015941,0.0015941,0.0015941
43,142.923,0.54745,0.35719,0.90173,0.99918,1,0.995,0.89748,0.49561,0.28099,0.88403,0.0015842,0.0015842,0.0015842
44,146.345,0.51735,0.34589,0.87433,0.99916,1,0.995,0.89783,0.51057,0.26297,0.89882,0.0015743,0.0015743,0.0015743
45,149.648,0.4963,0.3287,0.89999,0.99914,1,0.995,0.89343,0.52589,0.27863,0.91167,0.0015644,0.0015644,0.0015644
46,152.956,0.50503,0.32838,0.87687,0.99917,1,0.995,0.90239,0.4868,0.25868,0.88674,0.0015545,0.0015545,0.0015545
47,156.274,0.5319,0.34389,0.92325,0.99914,1,0.995,0.87947,0.52499,0.27028,0.90094,0.0015446,0.0015446,0.0015446
48,159.586,0.53709,0.34397,0.88408,0.99902,1,0.995,0.88186,0.54812,0.28532,0.9234,0.0015347,0.0015347,0.0015347
49,162.808,0.53968,0.33636,0.89501,0.99917,1,0.995,0.88265,0.5362,0.27913,0.91809,0.0015248,0.0015248,0.0015248
50,166.133,0.49735,0.32694,0.89421,0.99898,1,0.995,0.888,0.53521,0.30024,0.90684,0.0015149,0.0015149,0.0015149
51,169.483,0.49692,0.32004,0.89455,0.9992,1,0.995,0.88599,0.50353,0.28724,0.89259,0.001505,0.001505,0.001505
52,172.784,0.53434,0.33501,0.90365,1,0.99943,0.995,0.89287,0.53093,0.30966,0.91207,0.0014951,0.0014951,0.0014951
53,176.025,0.52498,0.33689,0.90808,0.99911,1,0.995,0.90068,0.51365,0.2706,0.89063,0.0014852,0.0014852,0.0014852
54,179.407,0.50449,0.33226,0.89697,0.99921,1,0.995,0.88408,0.52506,0.26201,0.89608,0.0014753,0.0014753,0.0014753
55,182.637,0.51134,0.32097,0.90154,0.99843,1,0.995,0.88092,0.61529,0.31339,0.9447,0.0014654,0.0014654,0.0014654
56,185.899,0.52356,0.32876,0.90129,0.99918,1,0.995,0.88126,0.56806,0.29409,0.91754,0.0014555,0.0014555,0.0014555
57,189.203,0.50611,0.31889,0.8958,0.99911,1,0.995,0.88766,0.54096,0.28336,0.90572,0.0014456,0.0014456,0.0014456
58,192.593,0.54566,0.32884,0.89504,0.99914,1,0.995,0.90205,0.51918,0.27636,0.89006,0.0014357,0.0014357,0.0014357
59,195.95,0.54903,0.32185,0.90448,0.99916,1,0.995,0.87376,0.59972,0.28707,0.92588,0.0014258,0.0014258,0.0014258
60,199.421,0.54621,0.33506,0.90809,0.99913,1,0.995,0.88613,0.55168,0.2877,0.90418,0.0014159,0.0014159,0.0014159
61,202.676,0.51454,0.32105,0.90521,0.99921,1,0.995,0.88577,0.54401,0.27128,0.90216,0.001406,0.001406,0.001406
62,205.932,0.48637,0.31082,0.88004,0.99922,1,0.995,0.88987,0.49779,0.26455,0.88315,0.0013961,0.0013961,0.0013961
63,209.183,0.48113,0.3082,0.87848,0.99924,1,0.995,0.88354,0.54271,0.25819,0.90842,0.0013862,0.0013862,0.0013862
64,212.497,0.5072,0.31016,0.8902,1,0.99956,0.995,0.87046,0.61913,0.29502,0.93647,0.0013763,0.0013763,0.0013763
65,215.811,0.48836,0.30784,0.88733,0.99944,1,0.995,0.8814,0.568,0.28399,0.92491,0.0013664,0.0013664,0.0013664
66,219.054,0.48771,0.29928,0.89122,0.99936,1,0.995,0.88231,0.56506,0.27338,0.92185,0.0013565,0.0013565,0.0013565
67,222.269,0.51939,0.30261,0.87704,0.99919,1,0.995,0.90565,0.50601,0.26173,0.90217,0.0013466,0.0013466,0.0013466
68,225.654,0.47376,0.29556,0.87874,0.99913,1,0.995,0.87724,0.55939,0.29238,0.92192,0.0013367,0.0013367,0.0013367
69,228.961,0.4785,0.30642,0.88741,0.99893,1,0.995,0.886,0.52094,0.26342,0.89524,0.0013268,0.0013268,0.0013268
70,232.246,0.49754,0.31113,0.87534,0.9987,1,0.995,0.89049,0.53117,0.28249,0.89691,0.0013169,0.0013169,0.0013169
71,235.499,0.50306,0.30528,0.89469,0.99746,1,0.995,0.88646,0.52755,0.28222,0.90541,0.001307,0.001307,0.001307
72,238.715,0.53456,0.34918,0.93242,0.9989,1,0.995,0.86952,0.57056,0.26867,0.92191,0.0012971,0.0012971,0.0012971
73,241.912,0.49259,0.30502,0.90989,0.99916,1,0.995,0.89327,0.51895,0.25298,0.90007,0.0012872,0.0012872,0.0012872
74,245.135,0.47398,0.29704,0.88103,0.99922,1,0.995,0.90009,0.49203,0.23995,0.88067,0.0012773,0.0012773,0.0012773
75,248.323,0.45561,0.27913,0.87412,0.99918,1,0.995,0.90248,0.51866,0.25072,0.89815,0.0012674,0.0012674,0.0012674
76,251.521,0.48483,0.29871,0.89302,0.99919,1,0.995,0.88819,0.5408,0.25729,0.9094,0.0012575,0.0012575,0.0012575
77,254.698,0.49981,0.30861,0.91266,0.99918,1,0.995,0.91102,0.52523,0.25272,0.90127,0.0012476,0.0012476,0.0012476
78,257.91,0.47237,0.28684,0.87212,0.99921,1,0.995,0.89704,0.51997,0.24613,0.89481,0.0012377,0.0012377,0.0012377
79,261.113,0.50368,0.3149,0.88192,0.99918,1,0.995,0.90197,0.48589,0.23803,0.8754,0.0012278,0.0012278,0.0012278
80,264.311,0.48364,0.30436,0.90326,0.99922,1,0.995,0.88758,0.5122,0.2609,0.88508,0.0012179,0.0012179,0.0012179
81,267.489,0.48034,0.29052,0.87373,0.9992,1,0.995,0.89446,0.55807,0.2781,0.91329,0.001208,0.001208,0.001208
82,270.728,0.42874,0.2769,0.87987,0.99912,1,0.995,0.89073,0.51503,0.25856,0.90141,0.0011981,0.0011981,0.0011981
83,273.877,0.486,0.2893,0.86158,0.99921,1,0.995,0.90226,0.50784,0.25594,0.89509,0.0011882,0.0011882,0.0011882
84,277.067,0.43804,0.27725,0.88067,0.99919,1,0.995,0.892,0.52407,0.25642,0.90087,0.0011783,0.0011783,0.0011783
85,280.242,0.46288,0.29616,0.88669,0.99917,1,0.995,0.90057,0.50022,0.25538,0.8919,0.0011684,0.0011684,0.0011684
86,283.413,0.46783,0.29104,0.87812,0.99907,1,0.995,0.89624,0.51004,0.25122,0.89604,0.0011585,0.0011585,0.0011585
87,286.599,0.4781,0.29959,0.87088,0.99849,1,0.995,0.87587,0.53864,0.2622,0.90878,0.0011486,0.0011486,0.0011486
88,289.8,0.46257,0.27915,0.87239,0.9989,1,0.995,0.89176,0.54192,0.2689,0.917,0.0011387,0.0011387,0.0011387
89,292.965,0.45759,0.27839,0.87765,0.99918,1,0.995,0.87654,0.60429,0.28041,0.95005,0.0011288,0.0011288,0.0011288
90,296.157,0.54164,0.32087,0.90895,1,0.9992,0.995,0.89516,0.53878,0.26134,0.89648,0.0011189,0.0011189,0.0011189
91,299.383,0.42931,0.27366,0.86899,0.99925,0.98571,0.99162,0.88679,0.57218,0.30035,0.91461,0.001109,0.001109,0.001109
92,302.626,0.46641,0.31234,0.87931,0.9995,1,0.995,0.8998,0.52005,0.25642,0.89214,0.0010991,0.0010991,0.0010991
93,305.822,0.43928,0.278,0.87564,1,0.99991,0.995,0.89005,0.55933,0.25612,0.9161,0.0010892,0.0010892,0.0010892
94,309.016,0.43655,0.26407,0.87161,0.999,1,0.995,0.8894,0.54843,0.25785,0.91699,0.0010793,0.0010793,0.0010793
95,312.197,0.42219,0.25764,0.85499,0.99909,1,0.995,0.89683,0.54245,0.25306,0.90983,0.0010694,0.0010694,0.0010694
96,315.394,0.44565,0.26977,0.87485,0.99911,1,0.995,0.90102,0.52778,0.26621,0.91167,0.0010595,0.0010595,0.0010595
97,318.561,0.45502,0.27853,0.87399,0.99913,1,0.995,0.89895,0.51057,0.24888,0.89707,0.0010496,0.0010496,0.0010496
98,321.766,0.44632,0.27835,0.86868,0.999,1,0.995,0.89338,0.52587,0.25595,0.91029,0.0010397,0.0010397,0.0010397
